t_s,power,cadence
3528,24,41
3529,0,60
3530,0,0
3531,0,0
3532,0,0
3533,16,34
3534,204,63
3535,468,66
3536,456,73
3537,313,74
3538,201,49
3539,265,84
3540,136,89
3541,86,91
3542,89,88
3543,40,88
3544,40,69
3545,0,0
3546,0,0
3547,0,0
3548,0,0
3549,0,0
3550,0,0
3551,0,39
3552,0,58
3553,0,0
3554,0,0
3555,0,0
3556,0,0
3557,0,0
3558,112,57
3559,43,75
3560,6,58
3561,6,70
3562,6,66
3563,35,71
3564,0,0
3565,0,0
3566,0,0
3567,0,0
3568,0,0
3569,0,0
3570,0,40
3571,0,64
3572,0,62
3573,0,57
3574,0,0
3575,0,0
3576,0,0
3577,0,0
3578,0,0
3579,0,0
3580,0,0
3581,0,0
3582,0,0
3583,0,0
3584,0,0
3585,0,0
3586,29,45
3587,23,45
3588,23,69
3589,0,63
3590,0,68
3591,0,0
3592,0,0
3593,0,0
3594,0,0
3595,0,0
3596,0,0
3597,0,0
3598,0,0
3599,0,0
3600,39,74
3601,16,74
3602,0,0
3603,0,0
3604,0,0
3605,0,0
3606,0,0
3607,39,75
3608,17,75
3609,17,38
3610,8,38
3611,8,0
3612,8,53
3613,28,0
3614,28,0
3615,30,53
3616,0,61
3617,0,0
3618,0,33
3619,0,0
3620,0,0
3621,0,0
3622,0,0
3623,0,0
3624,0,0
3625,0,0
3626,0,0
3627,0,0
3628,87,80
3629,30,69
3630,89,60
3631,96,81
3632,56,82
3633,35,82
3634,35,77
3635,74,77
3636,74,83
3637,68,84
3638,100,84
3639,149,85
3640,169,87
3641,40,85
3642,0,0
3643,0,0
3644,0,0
3645,0,0
3646,0,0
3647,0,0
3648,0,0
3649,169,83
3650,134,83
3651,182,84
3652,228,85
3653,143,85
3654,143,87
3655,165,87
3656,145,88
3657,212,89
3658,196,90
3659,161,91
3660,165,92
3661,91,92
3662,89,92
3663,31,68
3664,31,68
3665,32,79
3666,234,79
3667,234,92
3668,239,93
3669,96,93
3670,96,84
3671,25,84
3672,25,0
3673,27,72
3674,121,93
3675,151,93
3676,133,93
3677,108,94
3678,243,94
3679,204,95
3680,148,91
3681,90,90
3682,41,89
3683,45,52
3684,177,89
3685,146,90
3686,67,90
3687,16,67
3688,36,41
3689,223,87
3690,372,91
3691,430,93
3692,316,95
3693,151,96
3694,142,96
3695,233,96
3696,229,97
3697,143,98
3698,222,98
3699,315,92
3700,306,92
3701,213,93
3702,324,94
3703,259,94
3704,185,94
3705,182,94
3706,224,94
3707,263,94
3708,317,94
3709,256,94
3710,246,93
3711,215,93
3712,226,93
3713,290,93
3714,286,93
3715,372,94
3716,218,94
3717,274,94
3718,278,94
3719,222,95
3720,245,95
3721,221,96
3722,183,97
3723,317,98
3724,452,100
3725,416,101
3726,256,99
3727,167,94
3728,154,94
3729,113,94
3730,197,95
3731,77,95
3732,0,74
3733,0,0
3734,0,0
3735,0,0
3736,0,0
3737,0,0
3738,0,0
3739,0,0
3740,0,0
3741,0,0
3742,0,0
3743,0,0
3744,0,0
3745,0,0
3746,0,0
3747,0,0
3748,0,0
3749,0,0
3750,0,0
3751,50,38
3752,214,65
3753,494,71
3754,564,75
3755,474,79
3756,536,80
3757,432,83
3758,349,86
3759,357,86
3760,406,89
3761,329,91
3762,360,92
3763,321,93
3764,242,94
3765,157,94
3766,269,94
3767,297,94
3768,365,95
3769,331,96
3770,350,97
3771,362,98
3772,307,93
3773,331,92
3774,257,92
3775,344,93
3776,369,94
3777,278,94
3778,242,94
3779,208,94
3780,216,94
3781,235,92
3782,259,92
3783,318,92
3784,257,92
3785,257,91
3786,268,91
3787,268,89
3788,278,89
3789,278,88
3790,193,88
3791,271,88
3792,368,88
3793,368,90
3794,321,91
3795,302,91
3796,302,91
3797,221,92
3798,198,92
3799,205,92
3800,224,93
3801,178,93
3802,277,93
3803,427,93
3804,342,94
3805,420,95
3806,417,96
3807,362,97
3808,321,98
3809,130,97
3810,214,92
3811,161,92
3812,159,91
3813,213,91
3814,331,92
3815,257,93
3816,291,93
3817,207,94
3818,289,95
3819,129,96
3820,112,86
3821,397,97
3822,118,98
3823,152,93
3824,202,91
3825,352,92
3826,270,92
3827,227,93
3828,257,93
3829,270,94
3830,182,94
3831,72,94
3832,53,75
3833,54,90
3834,133,92
3835,253,93
3836,246,93
3837,241,93
3838,159,92
3839,123,91
3840,191,91
3841,214,91
3842,268,91
3843,273,91
3844,312,92
3845,278,92
3846,228,92
3847,363,92
3848,453,93
3849,418,94
3850,253,95
3851,207,95
3852,178,94
3853,231,93
3854,141,92
3855,117,91
3856,173,90
3857,230,89
3858,221,88
3859,285,87
3860,344,87
3861,360,88
3862,363,89
3863,432,90
3864,457,91
3865,397,92
3866,360,93
3867,338,94
3868,150,94
3869,45,67
3870,45,77
3871,23,73
3872,60,0
3873,61,58
3874,195,88
3875,143,93
3876,119,93
3877,86,93
3878,26,75
3879,47,0
3880,47,46
3881,141,90
3882,146,91
3883,380,92
3884,312,94
3885,398,95
3886,560,97
3887,438,97
3888,438,99
3889,239,99
3890,239,98
3891,299,98
3892,299,98
3893,218,97
3894,317,97
3895,317,95
3896,388,95
3897,271,94
3898,229,95
3899,254,96
3900,101,85
3901,0,0
3902,0,0
3903,0,0
3904,0,0
3905,0,32
3906,305,90
3907,281,93
3908,151,93
3909,93,80
3910,74,87
3911,0,61
3912,0,60
3913,0,47
3914,105,58
3915,125,88
3916,176,89
3917,248,91
3918,181,91
3919,181,92
3920,64,92
3921,64,44
3922,66,89
3923,266,89
3924,266,93
3925,434,94
3926,336,95
3927,333,97
3928,330,98
3929,92,96
3930,29,81
3931,63,82
3932,100,92
3933,106,91
3934,256,91
3935,340,92
3936,227,93
3937,174,92
3938,182,92
3939,182,92
3940,124,90
3941,95,88
3942,155,91
3943,343,93
3944,362,92
3945,384,92
3946,230,91
3947,0,91
3948,0,91
3949,0,0
3950,0,0
3951,261,91
3952,138,90
3953,129,91
3954,0,72
3955,0,0
3956,0,0
3957,0,0
3958,0,0
3959,0,0
3960,0,0
3961,0,0
3962,0,39
3963,77,85
3964,63,0
3965,63,63
3966,38,76
3967,0,0
3968,0,0
3969,0,0
3970,91,68
3971,113,92
3972,16,71
3973,0,0
3974,0,0
3975,0,0
3976,20,46
3977,10,46
3978,10,67
3979,238,77
3980,72,79
3981,0,55
3982,0,0
3983,0,0
3984,0,0
3985,0,40
3986,125,86
3987,43,75
3988,50,63
3989,291,85
3990,200,85
3991,200,86
3992,67,61
3993,68,78
3994,229,78
3995,229,90
3996,103,90
3997,103,90
3998,103,91
3999,134,92
4000,22,92
4001,22,0
4002,0,0
4003,0,0
4004,0,0
4005,0,0
4006,0,34
4007,168,80
4008,342,82
4009,559,84
4010,595,87
4011,520,89
4012,347,89
4013,347,91
4014,334,94
4015,148,96
4016,64,80
4017,64,86
4018,236,86
4019,236,95
4020,238,95
4021,138,96
4022,94,96
4023,128,96
4024,138,96
4025,93,96
4026,0,69
4027,0,0
4028,0,0
4029,0,0
4030,0,0
4031,0,0
4032,0,0
4033,0,0
4034,0,0
4035,80,41
4036,258,71
4037,291,76
4038,371,74
4039,359,77
4040,208,79
4041,309,82
4042,503,82
4043,503,91
4044,436,96
4045,402,96
4046,402,93
4047,424,97
4048,389,102
4049,275,103
4050,453,103
4051,414,103
4052,414,108
4053,380,103
4054,486,105
4055,493,107
4056,382,108
4057,297,109
4058,240,108
4059,157,108
4060,157,105
4061,15,82
4062,225,103
4063,217,104
4064,217,103
4065,161,103
4066,161,102
4067,78,102
4068,78,37
4069,79,94
4070,261,99
4071,340,99
4072,339,99
4073,259,99
4074,175,99
4075,194,97
4076,185,96
4077,270,94
4078,276,95
4079,329,96
4080,281,95
4081,227,93
4082,249,91
4083,268,89
4084,157,89
4085,157,90
4086,190,88
4087,193,87
4088,138,88
4089,207,90
4090,118,90
4091,118,84
4092,116,89
4093,157,90
4094,224,90
4095,128,90
4096,0,62
4097,0,62
4098,0,0
4099,0,0
4100,0,0
4101,0,0
4102,0,0
4103,129,66
4104,0,64
4105,0,0
4106,0,0
4107,130,63
4108,193,80
4109,256,82
4110,341,84
4111,418,86
4112,412,88
4113,261,90
4114,263,91
4115,270,91
4116,232,92
4117,273,93
4118,228,94
4119,267,96
4120,136,97
4121,242,94
4122,225,97
4123,158,99
4124,156,101
4125,150,101
4126,191,102
4127,216,103
4128,77,104
4129,127,98
4130,331,100
4131,285,102
4132,264,104
4133,90,96
4134,231,98
4135,52,90
4136,24,55
4137,82,92
4138,19,44
4139,75,79
4140,0,0
4141,0,0
4142,0,0
4143,0,0
4144,104,62
4145,89,79
4146,0,0
4147,0,0
4148,0,0
4149,206,100
4150,232,102
4151,138,102
4152,135,103
4153,79,97
4154,0,69
4155,0,0
4156,0,0
4157,0,0
4158,0,0
4159,0,42
4160,144,99
4161,174,100
4162,175,100
4163,230,100
4164,204,101
4165,311,101
4166,204,102
4167,197,102
4168,260,102
4169,191,102
4170,176,102
4171,188,101
4172,195,101
4173,195,95
4174,77,92
4175,0,92
4176,0,51
4177,0,0
4178,0,0
4179,0,0
4180,0,0
4181,0,0
4182,0,0
4183,0,0
4184,0,0
4185,0,0
4186,0,0
4187,0,0
4188,0,0
4189,0,0
4190,0,0
4191,0,0
4192,0,0
4193,0,0
4194,100,62
4195,223,62
4196,223,85
4197,215,86
4198,400,85
4199,349,86
4200,260,85
4201,179,86
4202,187,94
4203,329,93
4204,511,93
4205,511,88
4206,658,88
4207,658,90
4208,574,91
4209,311,90
4210,421,89
4211,560,89
4212,573,89
4213,573,89
4214,573,90
4215,447,93
4216,37,82
4217,0,53
4218,0,0
4219,0,0
4220,0,0
4221,83,40
4222,312,88
4223,109,94
4224,103,69
4225,104,59
4226,346,95
4227,291,97
4228,84,95
4229,0,63
4230,0,0
